,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,topic,Cluster
Doc274,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc275,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc276,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc277,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc278,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc279,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc280,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc281,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc282,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc283,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc284,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc285,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc286,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc287,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc288,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc289,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc290,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc291,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc292,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc293,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc294,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc295,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc296,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc297,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc298,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc299,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc300,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc301,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc302,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc303,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc304,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc305,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc306,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc307,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc308,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc309,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc310,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc311,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc312,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc313,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc314,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc315,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc316,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc317,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc318,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc319,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc320,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc321,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc322,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc323,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc324,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc325,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc326,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc327,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc328,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc329,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc330,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc331,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc332,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc333,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc334,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc335,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc336,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc337,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc338,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc339,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc340,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc341,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc342,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc343,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc344,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc345,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc346,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc347,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc348,0.0,0.0,0.99,0.0,0.0,0.0,0.0,2,Cluster 2
Doc349,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc350,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc351,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc352,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc353,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc354,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc355,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc356,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc357,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc358,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc359,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc360,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc361,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc362,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc363,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc364,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc365,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc366,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc367,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc368,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc369,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc370,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc371,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc372,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc373,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc374,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc375,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc376,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc377,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc378,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc379,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc380,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc381,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc382,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc383,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc384,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc385,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc386,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc387,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc388,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc389,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc390,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc391,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc392,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc393,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc394,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc395,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc396,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc397,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc398,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc399,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc400,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc401,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc402,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc403,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc404,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc405,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc406,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc407,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc408,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc409,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc410,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc411,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc412,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc413,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc414,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc415,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc416,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc417,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc418,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc419,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc420,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc421,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc422,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc423,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc424,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc425,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc426,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc427,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc428,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc429,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc430,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc431,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc432,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc433,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc434,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc435,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc436,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc437,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc438,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc439,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc440,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc441,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc442,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc443,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc444,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc445,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc446,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc447,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc448,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc449,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc450,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc451,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc452,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc453,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc454,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc455,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc456,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc457,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc458,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc459,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc460,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc461,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc462,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc463,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc464,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc465,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc466,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc467,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc468,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc469,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc470,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc471,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc472,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc473,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc474,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc475,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc476,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc477,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc478,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc479,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc480,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc481,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc482,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc483,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc484,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc485,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc486,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc487,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc488,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc489,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc490,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc491,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc492,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc493,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc494,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc495,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc496,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc497,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc498,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc499,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc500,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc501,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc502,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc503,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc504,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc505,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc506,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc507,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc508,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc509,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc510,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc511,0.0,0.0,0.99,0.0,0.0,0.0,0.0,2,Cluster 4
Doc512,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc513,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc514,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc515,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc516,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc517,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc518,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc519,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc520,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc521,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc522,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc523,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc524,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc525,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc526,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc527,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc528,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc529,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc530,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc531,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc532,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc533,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc534,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc535,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc536,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc537,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc538,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc539,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc540,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc541,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc542,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc543,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc544,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc545,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
